sample,ftc,Breadth3d (mm),,Bin,Frequency,,,sample,ftc,Breadth3d (mm),,Bin,Frequency,
28-38-28,pre,0.0386661,,,,,,28-38-28,post,0.0271495,,,,
28-38-28,pre,0.0577643,,,,,,28-38-28,post,0.0627263,,,,
28-38-28,pre,0.0719029,,,,,,28-38-28,post,1.22192,,,,
28-38-28,pre,0.0389309,,,,,,28-38-28,post,0.0906477,,,,
28-38-28,pre,0.0482801,,,,,,28-38-28,post,0.0171815,,,,
28-38-28,pre,0.024907,,,,,,28-38-28,post,0.0557038,,,,
28-38-28,pre,0.0436228,,,,,,28-38-28,post,0.1971,,,,
28-38-28,pre,0.13309,,,,,,28-38-28,post,0.0299397,,,,
28-38-28,pre,0.0249124,,,,,,28-38-28,post,0.0412979,,,,
28-38-28,pre,0.0847328,,,,,,28-38-28,post,0.206752,,,,
28-38-28,pre,0.0929176,,,,,,28-38-28,post,0.0234343,,,,
28-38-28,pre,0.10321,,,,,,28-38-28,post,0.195056,,,,
28-38-28,pre,0.0271936,,,,,,28-38-28,post,0.125669,,,,
28-38-28,pre,0.0295457,,,,,,28-38-28,post,0.176124,,,,
28-38-28,pre,1.00391,,,,,,28-38-28,post,0.0632934,,,,
28-38-28,pre,0.0376296,,,,,,28-38-28,post,0.0303215,,,,
28-38-28,pre,0.0323117,,,,,,28-38-28,post,0.0362111,,,,
28-38-28,pre,0.0241872,,,,,,28-38-28,post,0.119887,,,,
28-38-28,pre,0.109815,,,,,,28-38-28,post,0.0242518,,,,
28-38-28,pre,0.105021,,,,,,28-38-28,post,0.0582336,,,,
28-38-28,pre,0.0474053,,,,,,28-38-28,post,0.166705,,,,
28-38-28,pre,0.0305935,,,,,,28-38-28,post,0.0546394,,,,
28-38-28,pre,0.0292205,,,,,,28-38-28,post,0.0354675,,,,
28-38-28,pre,0.0990456,,,,,,28-38-28,post,0.0372742,,,,
28-38-28,pre,0.0418433,,,,,,28-38-28,post,0.0507724,,,,
28-38-28,pre,0.0457028,,,,,,28-38-28,post,0.0700044,,,,
28-38-28,pre,0.0528027,,,,,,28-38-28,post,0.393834,,,,
28-38-28,pre,0.125755,,,,,,28-38-28,post,0.0338794,,,,
28-38-28,pre,0.0331062,,,,,,28-38-28,post,0.0224129,,,,
28-38-28,pre,0.0316874,,,,,,28-38-28,post,0.0586965,,,,
28-38-28,pre,0.0687761,,,,,,28-38-28,post,0.0595275,,,,
28-38-28,pre,0.0406554,,,,,,28-38-28,post,0.195495,,,,
28-38-28,pre,0.0345566,,,,,,28-38-28,post,0.0320901,,,,
28-38-28,pre,0.0349419,,,,,,28-38-28,post,0.0696741,,,,
28-38-28,pre,0.0365565,,,,,,28-38-28,post,0.0333925,,,,
28-38-28,pre,0.0353058,,,,,,28-38-28,post,0.023498,,,,
28-38-28,pre,0.0440439,,,,,,28-38-28,post,0.0249114,,,,
28-38-28,pre,0.233164,,,,,,28-38-28,post,0.0232774,,,,
28-38-28,pre,0.0540915,,,,,,28-38-28,post,0.0233839,,,,
28-38-28,pre,0.0359092,,,,,,28-38-28,post,0.0690247,,,,
28-38-28,pre,0.0726198,,,,,,28-38-28,post,0.0357316,,,,
28-38-28,pre,0.0489275,,,,,,28-38-28,post,0.0811079,,,,
