sample,ftc,Breadth3d (mm),,Bin,Frequency,,,sample,ftc,Breadth3d (mm),,Bin,Frequency,
28-38-12,pre,0.117005,0.005,0.005,0,0,,28-38-12,post,0.108111,0.005,0.005,0,0
28-38-12,pre,0.0638933,0.01,0.01,0,0,,28-38-12,post,0.0638561,0.01,0.01,0,0
28-38-12,pre,0.0333895,0.015,0.015,1,0.007246377,,28-38-12,post,0.424431,0.015,0.015,0,0
28-38-12,pre,1.13235,0.02,0.02,0,0,,28-38-12,post,0.340186,0.02,0.02,1,0.014285714
28-38-12,pre,0.0386862,0.025,0.025,3,0.02173913,,28-38-12,post,0.211572,0.025,0.025,5,0.071428571
28-38-12,pre,0.0367318,0.03,0.03,12,0.086956522,,28-38-12,post,0.440004,0.03,0.03,5,0.071428571
28-38-12,pre,0.23404,0.035,0.035,14,0.101449275,,28-38-12,post,0.589295,0.035,0.035,3,0.042857143
28-38-12,pre,0.0750799,0.04,0.04,14,0.101449275,,28-38-12,post,0.308586,0.04,0.04,4,0.057142857
28-38-12,pre,0.0331103,0.045,0.045,9,0.065217391,,28-38-12,post,0.107113,0.045,0.045,3,0.042857143
28-38-12,pre,0.0776721,0.05,0.05,10,0.072463768,,28-38-12,post,0.0753277,0.05,0.05,4,0.057142857
28-38-12,pre,0.0393059,0.055,0.055,4,0.028985507,,28-38-12,post,0.257372,0.055,0.055,1,0.014285714
28-38-12,pre,0.0520768,0.06,0.06,4,0.028985507,,28-38-12,post,2.23664,0.06,0.06,2,0.028571429
28-38-12,pre,0.526768,0.065,0.065,5,0.036231884,,28-38-12,post,0.0600457,0.065,0.065,9,0.128571429
28-38-12,pre,0.336366,0.07,0.07,8,0.057971014,,28-38-12,post,0.24513,0.07,0.07,6,0.085714286
28-38-12,pre,0.117132,0.075,0.075,3,0.02173913,,28-38-12,post,0.22248,0.075,0.075,3,0.042857143
28-38-12,pre,0.374477,0.08,0.08,2,0.014492754,,28-38-12,post,0.0241583,0.08,0.08,3,0.042857143
28-38-12,pre,0.110201,0.085,0.085,2,0.014492754,,28-38-12,post,0.0737571,0.085,0.085,5,0.071428571
28-38-12,pre,0.0249092,0.09,0.09,5,0.036231884,,28-38-12,post,0.0245361,0.09,0.09,2,0.028571429
28-38-12,pre,0.0486132,0.095,0.095,7,0.050724638,,28-38-12,post,0.0242368,0.095,0.095,1,0.014285714
28-38-12,pre,0.0916694,0.1,0.1,6,0.043478261,,28-38-12,post,0.164096,0.1,0.1,3,0.042857143
28-38-12,pre,0.693217,0.105,0.105,5,0.036231884,,28-38-12,post,0.0333925,0.105,0.105,0,0
28-38-12,pre,0.0681601,0.11,0.11,6,0.043478261,,28-38-12,post,0.0961194,0.11,0.11,3,0.042857143
28-38-12,pre,0.650577,0.115,0.115,4,0.028985507,,28-38-12,post,0.0390889,0.115,0.115,3,0.042857143
28-38-12,pre,0.27051,0.12,0.12,5,0.036231884,,28-38-12,post,0.0794859,0.12,0.12,1,0.014285714
28-38-12,pre,0.130917,0.125,0.125,4,0.028985507,,28-38-12,post,0.0278894,0.125,0.125,0,0
28-38-12,pre,0.107331,0.13,0.13,2,0.014492754,,28-38-12,post,0.0372177,0.13,0.13,0,0
28-38-12,pre,0.0375475,0.135,0.135,1,0.007246377,,28-38-12,post,0.112496,0.135,0.135,0,0
28-38-12,pre,0.238459,0.14,0.14,0,0,,28-38-12,post,0.856554,0.14,0.14,0,0
28-38-12,pre,0.0206386,0.145,0.145,1,0.007246377,,28-38-12,post,0.542327,0.145,0.145,3,0.042857143
28-38-12,pre,0.099753,0.15,0.15,0,0,,28-38-12,post,0.140542,0.15,0.15,0,0
28-38-12,pre,0.0420089,0.155,0.155,0,0,,28-38-12,post,0.0847724,0.155,0.155,0,0
28-38-12,pre,0.0863934,0.16,0.16,1,0.007246377,,28-38-12,post,0.044359,0.16,0.16,0,0
28-38-12,pre,0.0265458,,More,,,,28-38-12,post,0.0488854,,More,,
28-38-12,pre,0.0472253,,,138,,,28-38-12,post,1.07117,,,70,
28-38-12,pre,0.0308249,,,,,,28-38-12,post,0.44568,,,,
28-38-12,pre,0.0283917,,,,,,28-38-12,post,0.0951168,,,,
28-38-12,pre,0.0667315,,,,,,28-38-12,post,0.0282184,,,,
28-38-12,pre,0.0270934,,,,,,28-38-12,post,0.0771843,,,,
28-38-12,pre,0.0454046,,,,,,28-38-12,post,0.0908516,,,,
28-38-12,pre,0.203372,,,,,,28-38-12,post,0.302867,,,,
28-38-12,pre,0.115366,,,,,,28-38-12,post,0.0629354,,,,
28-38-12,pre,0.1082,,,,,,28-38-12,post,0.177863,,,,
28-38-12,pre,0.0926564,,,,,,28-38-12,post,0.0650536,,,,
28-38-12,pre,0.0332878,,,,,,28-38-12,post,0.0811812,,,,
28-38-12,pre,0.0407853,,,,,,28-38-12,post,0.204475,,,,
28-38-12,pre,0.0344874,,,,,,28-38-12,post,0.111956,,,,
28-38-12,pre,0.0270426,,,,,,28-38-12,post,0.207041,,,,
28-38-12,pre,0.0658903,,,,,,28-38-12,post,0.0650883,,,,
28-38-12,pre,0.0267971,,,,,,28-38-12,post,0.0586509,,,,
28-38-12,pre,0.0270426,,,,,,28-38-12,post,0.197433,,,,
28-38-12,pre,0.0103193,,,,,,28-38-12,post,0.0630069,,,,
28-38-12,pre,0.0484074,,,,,,28-38-12,post,0.301073,,,,
28-38-12,pre,0.0832348,,,,,,28-38-12,post,0.170353,,,,
28-38-12,pre,0.0914288,,,,,,28-38-12,post,0.0668393,,,,
28-38-12,pre,0.0319811,,,,,,28-38-12,post,0.0842962,,,,
28-38-12,pre,0.0995753,,,,,,28-38-12,post,0.712637,,,,
28-38-12,pre,0.521255,,,,,,28-38-12,post,0.422795,,,,
28-38-12,pre,0.024913,,,,,,28-38-12,post,0.0851596,,,,
28-38-12,pre,0.172304,,,,,,28-38-12,post,0.118488,,,,
28-38-12,pre,0.0657259,,,,,,28-38-12,post,0.235117,,,,
28-38-12,pre,2.32914,,,,,,28-38-12,post,0.0647995,,,,
28-38-12,pre,0.0647106,,,,,,28-38-12,post,0.0442086,,,,
28-38-12,pre,0.0568795,,,,,,28-38-12,post,0.0738714,,,,
28-38-12,pre,1.44636,,,,,,28-38-12,post,0.030079,,,,
28-38-12,pre,0.188083,,,,,,28-38-12,post,0.478044,,,,
28-38-12,pre,0.0531424,,,,,,28-38-12,post,0.0825119,,,,
28-38-12,pre,0.106003,,,,,,28-38-12,post,0.0861398,,,,
28-38-12,pre,0.0716463,,,,,,28-38-12,post,0.0402892,,,,
28-38-12,pre,0.0658904,,,,,,28-38-12,post,0.111703,,,,
28-38-12,pre,0.0366752,,,,,,28-38-12,post,0.0840415,,,,
28-38-12,pre,0.0476589,,,,,,28-38-12,post,0.0270934,,,,
28-38-12,pre,0.4536,,,,,,28-38-12,post,0.0301647,,,,
28-38-12,pre,0.0348486,,,,,,28-38-12,post,0.168231,,,,
28-38-12,pre,0.0281914,,,,,,28-38-12,post,0.268814,,,,
28-38-12,pre,0.0979193,,,,,,28-38-12,post,0.022932,,,,
28-38-12,pre,0.117503,,,,,,28-38-12,post,0.246932,,,,
28-38-12,pre,0.0412682,,,,,,28-38-12,post,0.0619151,,,,
28-38-12,pre,0.265173,,,,,,28-38-12,post,0.0183806,,,,
28-38-12,pre,0.116198,,,,,,28-38-12,post,0.144066,,,,
28-38-12,pre,0.0886926,,,,,,28-38-12,post,0.068896,,,,
28-38-12,pre,0.0457875,,,,,,28-38-12,post,0.0262634,,,,
28-38-12,pre,0.0476964,,,,,,28-38-12,post,0.0543392,,,,
28-38-12,pre,0.0725086,,,,,,28-38-12,post,0.203297,,,,
28-38-12,pre,0.0685088,,,,,,28-38-12,post,0.0673676,,,,
28-38-12,pre,0.0939372,,,,,,28-38-12,post,0.0984874,,,,
28-38-12,pre,0.0333925,,,,,,28-38-12,post,0.288939,,,,
28-38-12,pre,0.104253,,,,,,28-38-12,post,0.04934,,,,
28-38-12,pre,0.0535874,,,,,,28-38-12,post,0.0372215,,,,
28-38-12,pre,0.0425859,,,,,,28-38-12,post,0.0627528,,,,
28-38-12,pre,0.0310099,,,,,,28-38-12,post,0.511862,,,,
28-38-12,pre,0.0644363,,,,,,28-38-12,post,0.140397,,,,
28-38-12,pre,0.0324116,,,,,,28-38-12,post,0.0486504,,,,
28-38-12,pre,0.173628,,,,,,28-38-12,post,0.062849,,,,
28-38-12,pre,0.0653208,,,,,,28-38-12,post,0.0675337,,,,
28-38-12,pre,0.0430802,,,,,,28-38-12,post,0.073191,,,,
28-38-12,pre,0.0289619,,,,,,28-38-12,post,0.0269358,,,,
28-38-12,pre,0.0478381,,,,,,28-38-12,post,0.0563905,,,,
28-38-12,pre,0.0281907,,,,,,28-38-12,post,0.106664,,,,
28-38-12,pre,0.102779,,,,,,28-38-12,post,0.0619132,,,,
28-38-12,pre,0.10406,,,,,,28-38-12,post,0.0498891,,,,
28-38-12,pre,0.0388323,,,,,,28-38-12,post,0.0353327,,,,
28-38-12,pre,0.0309579,,,,,,28-38-12,post,0.0218813,,,,
28-38-12,pre,0.122379,,,,,,,,,,,,
28-38-12,pre,0.232479,,,,,,,,,,,,
28-38-12,pre,0.0360663,,,,,,,,,,,,
28-38-12,pre,0.113349,,,,,,,,,,,,
28-38-12,pre,0.0990412,,,,,,,,,,,,
28-38-12,pre,0.112792,,,,,,,,,,,,
28-38-12,pre,0.0382053,,,,,,,,,,,,
28-38-12,pre,0.3178,,,,,,,,,,,,
28-38-12,pre,0.197809,,,,,,,,,,,,
28-38-12,pre,0.12278,,,,,,,,,,,,
28-38-12,pre,0.120638,,,,,,,,,,,,
28-38-12,pre,0.0447564,,,,,,,,,,,,
28-38-12,pre,0.0912454,,,,,,,,,,,,
