sample,ftc,Breadth3d (mm),,Bin,Frequency,frequency,,,sample,ftc,Breadth (mm),,Bin,Frequency,
41-50-28,pre,0.0743253,,,,,,,41-50-28,post,3.33E-02,,,,
41-50-28,pre,0.0473403,,,,,,,41-50-28,post,2.42E-02,,,,
41-50-28,pre,0.0496817,,,,,,,41-50-28,post,3.82E-02,,,,
41-50-28,pre,0.0559048,,,,,,,41-50-28,post,2.92E-02,,,,
41-50-28,pre,0.057929,,,,,,,41-50-28,post,3.00E-02,,,,
41-50-28,pre,0.130034,,,,,,,41-50-28,post,3.21E-02,,,,
41-50-28,pre,0.0257736,,,,,,,41-50-28,post,3.52E-02,,,,
41-50-28,pre,0.317719,,,,,,,41-50-28,post,2.72E-02,,,,
41-50-28,pre,0.265935,,,,,,,41-50-28,post,3.97E-02,,,,
41-50-28,pre,0.181091,,,,,,,41-50-28,post,2.42E-02,,,,
41-50-28,pre,0.0352145,,,,,,,41-50-28,post,2.43E-02,,,,
41-50-28,pre,0.0389791,,,,,,,,,,,,,
41-50-28,pre,0.142108,,,,,,,,,,,,,
41-50-28,pre,0.0687099,,,,,,,,,,,,,
41-50-28,pre,0.0411571,,,,,,,,,,,,,
41-50-28,pre,0.058525,,,,,,,,,,,,,
41-50-28,pre,0.0355058,,,,,,,,,,,,,
41-50-28,pre,0.0523025,,,,,,,,,,,,,
41-50-28,pre,0.305649,,,,,,,,,,,,,
41-50-28,pre,0.0328264,,,,,,,,,,,,,
41-50-28,pre,0.0351069,,,,,,,,,,,,,
41-50-28,pre,0.0362283,,,,,,,,,,,,,
41-50-28,pre,0.0252072,,,,,,,,,,,,,
41-50-28,pre,0.0243977,,,,,,,,,,,,,
41-50-28,pre,0.0691755,,,,,,,,,,,,,
41-50-28,pre,0.0349161,,,,,,,,,,,,,
41-50-28,pre,0.589554,,,,,,,,,,,,,
41-50-28,pre,0.0760673,,,,,,,,,,,,,
41-50-28,pre,0.0309579,,,,,,,,,,,,,
41-50-28,pre,0.0323512,,,,,,,,,,,,,
41-50-28,pre,0.0729464,,,,,,,,,,,,,
41-50-28,pre,0.474737,,,,,,,,,,,,,
41-50-28,pre,0.0829764,,,,,,,,,,,,,
41-50-28,pre,0.041421,,,,,,,,,,,,,
41-50-28,pre,0.0397297,,,,,,,,,,,,,
41-50-28,pre,0.0503122,,,,,,,,,,,,,
41-50-28,pre,0.0429322,,,,,,,,,,,,,
41-50-28,pre,0.0629752,,,,,,,,,,,,,
41-50-28,pre,0.0240317,,,,,,,,,,,,,
41-50-28,pre,0.0422206,,,,,,,,,,,,,
41-50-28,pre,0.105563,,,,,,,,,,,,,
41-50-28,pre,0.0316217,,,,,,,,,,,,,
41-50-28,pre,0.0487064,,,,,,,,,,,,,
41-50-28,pre,0.0245803,,,,,,,,,,,,,
41-50-28,pre,0.115854,,,,,,,,,,,,,
41-50-28,pre,0.112975,,,,,,,,,,,,,
41-50-28,pre,0.371789,,,,,,,,,,,,,
41-50-28,pre,0.0537446,,,,,,,,,,,,,
41-50-28,pre,0.0401248,,,,,,,,,,,,,
41-50-28,pre,0.0511926,,,,,,,,,,,,,
41-50-28,pre,0.204194,,,,,,,,,,,,,
41-50-28,pre,0.0987437,,,,,,,,,,,,,
41-50-28,pre,0.024007,,,,,,,,,,,,,
41-50-28,pre,0.0528582,,,,,,,,,,,,,
41-50-28,pre,0.209086,,,,,,,,,,,,,
41-50-28,pre,0.0281845,,,,,,,,,,,,,
41-50-28,pre,0.0473886,,,,,,,,,,,,,
41-50-28,pre,0.0352675,,,,,,,,,,,,,
41-50-28,pre,0.0710668,,,,,,,,,,,,,
41-50-28,pre,0.207501,,,,,,,,,,,,,
41-50-28,pre,0.190204,,,,,,,,,,,,,
41-50-28,pre,0.113327,,,,,,,,,,,,,
41-50-28,pre,0.0538219,,,,,,,,,,,,,
41-50-28,pre,0.0208859,,,,,,,,,,,,,
41-50-28,pre,0.0327547,,,,,,,,,,,,,
41-50-28,pre,0.0586742,,,,,,,,,,,,,
41-50-28,pre,0.0320047,,,,,,,,,,,,,
41-50-28,pre,0.117147,,,,,,,,,,,,,
41-50-28,pre,0.125665,,,,,,,,,,,,,
41-50-28,pre,0.0771877,,,,,,,,,,,,,
41-50-28,pre,0.0736637,,,,,,,,,,,,,
41-50-28,pre,0.084634,,,,,,,,,,,,,
41-50-28,pre,0.268016,,,,,,,,,,,,,
41-50-28,pre,0.0605864,,,,,,,,,,,,,
41-50-28,pre,0.0645697,,,,,,,,,,,,,
41-50-28,pre,0.0821965,,,,,,,,,,,,,
41-50-28,pre,0.0584087,,,,,,,,,,,,,
41-50-28,pre,0.0461482,,,,,,,,,,,,,
41-50-28,pre,0.073247,,,,,,,,,,,,,
41-50-28,pre,0.0412553,,,,,,,,,,,,,
41-50-28,pre,0.0393959,,,,,,,,,,,,,
41-50-28,pre,0.129638,,,,,,,,,,,,,
41-50-28,pre,0.0354013,,,,,,,,,,,,,
41-50-28,pre,0.0263842,,,,,,,,,,,,,
41-50-28,pre,0.0443536,,,,,,,,,,,,,
41-50-28,pre,0.0409131,,,,,,,,,,,,,
