sample,ftc,Breadth3d (mm),,Bin,Frequency,,,sample,ftc,Breadth3d (mm),,Bin,Frequency,
40-50-16,pre,0.0242525,0.1,0.1,4,0.017094017,,40-50-16,post,0.0320585,0.1,0.1,4,0.035714286
40-50-16,pre,0.0316338,0.105,0.105,3,0.012820513,,40-50-16,post,0.0534465,0.105,0.105,1,0.008928571
40-50-16,pre,0.0297859,0.11,0.11,4,0.017094017,,40-50-16,post,0.0803954,0.11,0.11,2,0.017857143
40-50-16,pre,0.0269517,0.115,0.115,3,0.012820513,,40-50-16,post,0.123696,0.115,0.115,2,0.017857143
40-50-16,pre,0.0285817,0.12,0.12,3,0.012820513,,40-50-16,post,0.425551,0.12,0.12,2,0.017857143
40-50-16,pre,0.0242662,0.125,0.125,1,0.004273504,,40-50-16,post,0.0589498,0.125,0.125,1,0.008928571
40-50-16,pre,0.0269517,0.13,0.13,4,0.017094017,,40-50-16,post,0.0384856,0.13,0.13,0,0
40-50-16,pre,0.0282382,0.135,0.135,1,0.004273504,,40-50-16,post,0.218724,0.135,0.135,0,0
40-50-16,pre,0.037191,0.14,0.14,2,0.008547009,,40-50-16,post,0.0235553,0.14,0.14,1,0.008928571
40-50-16,pre,0.0357382,0.145,0.145,1,0.004273504,,40-50-16,post,0.0231681,0.145,0.145,1,0.008928571
40-50-16,pre,0.0319954,0.15,0.15,1,0.004273504,,40-50-16,post,0.0480048,0.15,0.15,0,0
40-50-16,pre,0.0310099,0.155,0.155,2,0.008547009,,40-50-16,post,0.0671452,0.155,0.155,3,0.026785714
40-50-16,pre,0.0236054,0.16,0.16,0,0,,40-50-16,post,0.0967978,0.16,0.16,0,0
40-50-16,pre,0.0326188,,More,35,,,40-50-16,post,0.0279053,,More,21,
40-50-16,pre,0.0331688,,,234,,,40-50-16,post,0.0240656,,,112,
40-50-16,pre,0.0448818,,,,,,40-50-16,post,0.0525449,,,,
40-50-16,pre,0.0297563,,,,,,40-50-16,post,0.0351417,,,,
40-50-16,pre,0.0298116,,,,,,40-50-16,post,0.153326,,,,
40-50-16,pre,0.0579354,,,,,,40-50-16,post,0.0330227,,,,
40-50-16,pre,0.0356963,,,,,,40-50-16,post,0.0209113,,,,
40-50-16,pre,0.0555587,,,,,,40-50-16,post,0.0750182,,,,
40-50-16,pre,0.0412751,,,,,,40-50-16,post,0.0744802,,,,
40-50-16,pre,0.0381237,,,,,,40-50-16,post,0.135934,,,,
40-50-16,pre,0.0258167,,,,,,40-50-16,post,0.0358042,,,,
40-50-16,pre,0.0250894,,,,,,40-50-16,post,0.154887,,,,
40-50-16,pre,0.0200431,,,,,,40-50-16,post,0.663792,,,,
40-50-16,pre,0.039487,,,,,,40-50-16,post,0.0260993,,,,
40-50-16,pre,0.0331866,,,,,,40-50-16,post,0.0886498,,,,
40-50-16,pre,0.0344326,,,,,,40-50-16,post,0.184543,,,,
40-50-16,pre,0.0333925,,,,,,40-50-16,post,0.0370612,,,,
40-50-16,pre,0.0235904,,,,,,40-50-16,post,0.0343719,,,,
40-50-16,pre,0.0333852,,,,,,40-50-16,post,0.0520846,,,,
40-50-16,pre,0.0487785,,,,,,40-50-16,post,0.0982818,,,,
40-50-16,pre,0.0423102,,,,,,40-50-16,post,0.0540997,,,,
40-50-16,pre,0.0347058,,,,,,40-50-16,post,0.0246311,,,,
40-50-16,pre,0.0304062,,,,,,40-50-16,post,0.0459804,,,,
40-50-16,pre,0.0506397,,,,,,40-50-16,post,0.878199,,,,
40-50-16,pre,0.0392973,,,,,,40-50-16,post,0.0541001,,,,
40-50-16,pre,0.0352137,,,,,,40-50-16,post,0.10538,,,,
40-50-16,pre,0.0328183,,,,,,40-50-16,post,0.0429418,,,,
40-50-16,pre,0.0486247,,,,,,40-50-16,post,0.219095,,,,
40-50-16,pre,0.0533121,,,,,,40-50-16,post,0.0747469,,,,
40-50-16,pre,0.0302745,,,,,,40-50-16,post,0.281165,,,,
40-50-16,pre,0.0287138,,,,,,40-50-16,post,0.0651289,,,,
40-50-16,pre,0.0568119,,,,,,40-50-16,post,0.417154,,,,
40-50-16,pre,0.038316,,,,,,40-50-16,post,0.29233,,,,
40-50-16,pre,0.0357719,,,,,,40-50-16,post,0.0271495,,,,
40-50-16,pre,0.0616824,,,,,,40-50-16,post,0.292213,,,,
40-50-16,pre,0.071303,,,,,,40-50-16,post,0.0688437,,,,
40-50-16,pre,0.0410287,,,,,,40-50-16,post,0.0249091,,,,
40-50-16,pre,0.0602135,,,,,,40-50-16,post,0.82996,,,,
40-50-16,pre,0.0388077,,,,,,40-50-16,post,0.040894,,,,
40-50-16,pre,0.0453579,,,,,,40-50-16,post,0.0626009,,,,
40-50-16,pre,0.0576999,,,,,,40-50-16,post,0.0528026,,,,
40-50-16,pre,0.0376974,,,,,,40-50-16,post,0.0508445,,,,
40-50-16,pre,0.0278008,,,,,,40-50-16,post,0.0466492,,,,
40-50-16,pre,0.0320096,,,,,,40-50-16,post,0.0895401,,,,
40-50-16,pre,0.0703405,,,,,,40-50-16,post,0.0973069,,,,
40-50-16,pre,0.0334306,,,,,,40-50-16,post,0.0337899,,,,
40-50-16,pre,0.0313679,,,,,,40-50-16,post,0.828601,,,,
40-50-16,pre,0.0454645,,,,,,40-50-16,post,0.0289373,,,,
40-50-16,pre,0.0288318,,,,,,40-50-16,post,0.0927151,,,,
40-50-16,pre,0.0545983,,,,,,40-50-16,post,0.101424,,,,
40-50-16,pre,0.0331723,,,,,,40-50-16,post,0.0314368,,,,
40-50-16,pre,0.0483868,,,,,,40-50-16,post,0.0673631,,,,
40-50-16,pre,0.0576069,,,,,,40-50-16,post,0.0492807,,,,
40-50-16,pre,0.0414556,,,,,,40-50-16,post,0.069329,,,,
40-50-16,pre,0.0477784,,,,,,40-50-16,post,0.0418666,,,,
40-50-16,pre,0.0513901,,,,,,40-50-16,post,0.144842,,,,
40-50-16,pre,0.0353331,,,,,,40-50-16,post,0.0312015,,,,
40-50-16,pre,0.0526955,,,,,,40-50-16,post,0.0574147,,,,
40-50-16,pre,0.0557959,,,,,,40-50-16,post,0.0325023,,,,
40-50-16,pre,0.070906,,,,,,40-50-16,post,0.0900284,,,,
40-50-16,pre,0.0445266,,,,,,40-50-16,post,0.0271495,,,,
40-50-16,pre,0.0353308,,,,,,40-50-16,post,0.0586585,,,,
40-50-16,pre,0.0348129,,,,,,40-50-16,post,0.0305751,,,,
40-50-16,pre,0.0446926,,,,,,40-50-16,post,0.0628252,,,,
40-50-16,pre,0.0466156,,,,,,40-50-16,post,0.0242042,,,,
40-50-16,pre,0.0239181,,,,,,40-50-16,post,0.0249025,,,,
40-50-16,pre,0.0422559,,,,,,40-50-16,post,0.0674977,,,,
40-50-16,pre,0.0322338,,,,,,40-50-16,post,0.0520327,,,,
40-50-16,pre,0.0496152,,,,,,40-50-16,post,0.0360725,,,,
40-50-16,pre,0.0451853,,,,,,40-50-16,post,0.0293008,,,,
40-50-16,pre,0.0611007,,,,,,40-50-16,post,0.0251277,,,,
40-50-16,pre,0.0272299,,,,,,40-50-16,post,0.0773015,,,,
40-50-16,pre,0.0392369,,,,,,40-50-16,post,0.042802,,,,
40-50-16,pre,0.0419371,,,,,,40-50-16,post,0.0422748,,,,
40-50-16,pre,0.028187,,,,,,40-50-16,post,0.112417,,,,
40-50-16,pre,0.0656223,,,,,,40-50-16,post,0.0934466,,,,
40-50-16,pre,0.0595642,,,,,,40-50-16,post,0.0643965,,,,
40-50-16,pre,0.0565031,,,,,,40-50-16,post,0.0394939,,,,
40-50-16,pre,0.0341354,,,,,,40-50-16,post,0.077509,,,,
40-50-16,pre,0.049475,,,,,,40-50-16,post,0.118153,,,,
40-50-16,pre,0.0255789,,,,,,40-50-16,post,0.0749542,,,,
40-50-16,pre,0.0557262,,,,,,40-50-16,post,0.0239781,,,,
40-50-16,pre,0.0323044,,,,,,40-50-16,post,0.170507,,,,
40-50-16,pre,0.0302279,,,,,,40-50-16,post,0.0633083,,,,
40-50-16,pre,0.0609022,,,,,,40-50-16,post,0.0520996,,,,
40-50-16,pre,0.0574517,,,,,,40-50-16,post,0.0425009,,,,
40-50-16,pre,0.0481781,,,,,,40-50-16,post,0.15351,,,,
40-50-16,pre,0.0753525,,,,,,40-50-16,post,0.0322424,,,,
40-50-16,pre,0.0577936,,,,,,40-50-16,post,0.0768127,,,,
40-50-16,pre,0.0964287,,,,,,40-50-16,post,0.0420113,,,,
40-50-16,pre,0.0454203,,,,,,40-50-16,post,0.459426,,,,
40-50-16,pre,0.0632757,,,,,,40-50-16,post,0.029326,,,,
40-50-16,pre,0.0395702,,,,,,40-50-16,post,0.0160604,,,,
40-50-16,pre,0.0681843,,,,,,40-50-16,post,0.119036,,,,
40-50-16,pre,0.0664188,,,,,,40-50-16,post,0.300125,,,,
40-50-16,pre,0.0763711,,,,,,40-50-16,post,0.0353201,,,,
40-50-16,pre,0.0539681,,,,,,40-50-16,post,0.0884173,,,,
40-50-16,pre,0.0595824,,,,,,40-50-16,post,0.0355942,,,,
40-50-16,pre,0.0504199,,,,,,40-50-16,post,0.0972191,,,,
40-50-16,pre,0.0778135,,,,,,40-50-16,post,0.285345,,,,
40-50-16,pre,0.105764,,,,,,40-50-16,post,0.110915,,,,
40-50-16,pre,0.0722323,,,,,,,,,,,,
40-50-16,pre,0.0613477,,,,,,,,,,,,
40-50-16,pre,0.0412341,,,,,,,,,,,,
40-50-16,pre,0.0425221,,,,,,,,,,,,
40-50-16,pre,0.0519631,,,,,,,,,,,,
40-50-16,pre,0.0524962,,,,,,,,,,,,
40-50-16,pre,0.0691122,,,,,,,,,,,,
40-50-16,pre,0.0833773,,,,,,,,,,,,
40-50-16,pre,0.129384,,,,,,,,,,,,
40-50-16,pre,0.0860669,,,,,,,,,,,,
40-50-16,pre,0.0704202,,,,,,,,,,,,
40-50-16,pre,0.0941427,,,,,,,,,,,,
40-50-16,pre,0.043782,,,,,,,,,,,,
40-50-16,pre,0.0350596,,,,,,,,,,,,
40-50-16,pre,0.0570205,,,,,,,,,,,,
40-50-16,pre,0.0448562,,,,,,,,,,,,
40-50-16,pre,0.0304826,,,,,,,,,,,,
40-50-16,pre,0.0720292,,,,,,,,,,,,
40-50-16,pre,0.07579,,,,,,,,,,,,
40-50-16,pre,0.0655033,,,,,,,,,,,,
40-50-16,pre,0.0497597,,,,,,,,,,,,
40-50-16,pre,0.0948288,,,,,,,,,,,,
40-50-16,pre,0.103181,,,,,,,,,,,,
40-50-16,pre,0.0693367,,,,,,,,,,,,
40-50-16,pre,0.0639184,,,,,,,,,,,,
40-50-16,pre,0.106949,,,,,,,,,,,,
40-50-16,pre,0.0506268,,,,,,,,,,,,
40-50-16,pre,0.0427814,,,,,,,,,,,,
40-50-16,pre,0.0223203,,,,,,,,,,,,
40-50-16,pre,0.06578,,,,,,,,,,,,
40-50-16,pre,0.0645325,,,,,,,,,,,,
40-50-16,pre,0.0730675,,,,,,,,,,,,
40-50-16,pre,0.0593327,,,,,,,,,,,,
40-50-16,pre,0.0684146,,,,,,,,,,,,
40-50-16,pre,0.0458062,,,,,,,,,,,,
40-50-16,pre,0.0730707,,,,,,,,,,,,
40-50-16,pre,0.0282964,,,,,,,,,,,,
40-50-16,pre,0.0273604,,,,,,,,,,,,
40-50-16,pre,0.0487562,,,,,,,,,,,,
40-50-16,pre,0.0746077,,,,,,,,,,,,
40-50-16,pre,0.0660606,,,,,,,,,,,,
40-50-16,pre,0.0770366,,,,,,,,,,,,
40-50-16,pre,0.0448654,,,,,,,,,,,,
40-50-16,pre,0.0381843,,,,,,,,,,,,
40-50-16,pre,0.0542088,,,,,,,,,,,,
40-50-16,pre,0.12563,,,,,,,,,,,,
40-50-16,pre,0.0883121,,,,,,,,,,,,
40-50-16,pre,0.0685803,,,,,,,,,,,,
40-50-16,pre,0.0633848,,,,,,,,,,,,
40-50-16,pre,0.062923,,,,,,,,,,,,
40-50-16,pre,0.0476961,,,,,,,,,,,,
40-50-16,pre,0.0309856,,,,,,,,,,,,
40-50-16,pre,0.139628,,,,,,,,,,,,
40-50-16,pre,0.104822,,,,,,,,,,,,
40-50-16,pre,0.0864496,,,,,,,,,,,,
40-50-16,pre,0.0673621,,,,,,,,,,,,
40-50-16,pre,0.0351977,,,,,,,,,,,,
40-50-16,pre,0.0447564,,,,,,,,,,,,
40-50-16,pre,0.132288,,,,,,,,,,,,
40-50-16,pre,0.0547817,,,,,,,,,,,,
40-50-16,pre,0.0704447,,,,,,,,,,,,
40-50-16,pre,0.0693802,,,,,,,,,,,,
40-50-16,pre,0.0475242,,,,,,,,,,,,
40-50-16,pre,0.0735205,,,,,,,,,,,,
40-50-16,pre,0.0989147,,,,,,,,,,,,
40-50-16,pre,0.0439673,,,,,,,,,,,,
40-50-16,pre,0.0819806,,,,,,,,,,,,
40-50-16,pre,0.11634,,,,,,,,,,,,
40-50-16,pre,0.0545238,,,,,,,,,,,,
40-50-16,pre,0.0981298,,,,,,,,,,,,
40-50-16,pre,0.0763894,,,,,,,,,,,,
40-50-16,pre,0.154845,,,,,,,,,,,,
40-50-16,pre,0.0875698,,,,,,,,,,,,
40-50-16,pre,0.090881,,,,,,,,,,,,
40-50-16,pre,0.179166,,,,,,,,,,,,
40-50-16,pre,0.107946,,,,,,,,,,,,
40-50-16,pre,0.0575637,,,,,,,,,,,,
40-50-16,pre,0.129215,,,,,,,,,,,,
40-50-16,pre,0.0750769,,,,,,,,,,,,
40-50-16,pre,0.054383,,,,,,,,,,,,
40-50-16,pre,0.115083,,,,,,,,,,,,
40-50-16,pre,0.120526,,,,,,,,,,,,
40-50-16,pre,0.0766468,,,,,,,,,,,,
40-50-16,pre,0.0655272,,,,,,,,,,,,
40-50-16,pre,0.0939115,,,,,,,,,,,,
40-50-16,pre,0.228446,,,,,,,,,,,,
40-50-16,pre,0.102864,,,,,,,,,,,,
40-50-16,pre,0.0839499,,,,,,,,,,,,
40-50-16,pre,0.0984206,,,,,,,,,,,,
40-50-16,pre,0.13852,,,,,,,,,,,,
40-50-16,pre,0.0656803,,,,,,,,,,,,
40-50-16,pre,0.166967,,,,,,,,,,,,
40-50-16,pre,0.241479,,,,,,,,,,,,
40-50-16,pre,0.110883,,,,,,,,,,,,
40-50-16,pre,0.0827423,,,,,,,,,,,,
40-50-16,pre,0.0631601,,,,,,,,,,,,
40-50-16,pre,0.11667,,,,,,,,,,,,
40-50-16,pre,0.185055,,,,,,,,,,,,
40-50-16,pre,0.172338,,,,,,,,,,,,
40-50-16,pre,0.078766,,,,,,,,,,,,
40-50-16,pre,0.142738,,,,,,,,,,,,
40-50-16,pre,0.147666,,,,,,,,,,,,
40-50-16,pre,0.178271,,,,,,,,,,,,
40-50-16,pre,0.110675,,,,,,,,,,,,
40-50-16,pre,0.10543,,,,,,,,,,,,
40-50-16,pre,0.211382,,,,,,,,,,,,
40-50-16,pre,0.129771,,,,,,,,,,,,
40-50-16,pre,0.21627,,,,,,,,,,,,
40-50-16,pre,0.111952,,,,,,,,,,,,
40-50-16,pre,0.301149,,,,,,,,,,,,
40-50-16,pre,0.209787,,,,,,,,,,,,
40-50-16,pre,0.294075,,,,,,,,,,,,
40-50-16,pre,0.162738,,,,,,,,,,,,
40-50-16,pre,0.339804,,,,,,,,,,,,
40-50-16,pre,0.422276,,,,,,,,,,,,
40-50-16,pre,0.190432,,,,,,,,,,,,
40-50-16,pre,0.182937,,,,,,,,,,,,
40-50-16,pre,0.21065,,,,,,,,,,,,
40-50-16,pre,0.289703,,,,,,,,,,,,
40-50-16,pre,0.290259,,,,,,,,,,,,
40-50-16,pre,0.339744,,,,,,,,,,,,
40-50-16,pre,0.398846,,,,,,,,,,,,
40-50-16,pre,0.181441,,,,,,,,,,,,
40-50-16,pre,0.322655,,,,,,,,,,,,
40-50-16,pre,0.152144,,,,,,,,,,,,
40-50-16,pre,0.428007,,,,,,,,,,,,
40-50-16,pre,0.208842,,,,,,,,,,,,
40-50-16,pre,0.275534,,,,,,,,,,,,
40-50-16,pre,0.412126,,,,,,,,,,,,
40-50-16,pre,0.785498,,,,,,,,,,,,
40-50-16,pre,0.300473,,,,,,,,,,,,
40-50-16,pre,0.93245,,,,,,,,,,,,
40-50-16,pre,1.30936,,,,,,,,,,,,
40-50-16,pre,0.492233,,,,,,,,,,,,
40-50-16,pre,0.469013,,,,,,,,,,,,
40-50-16,pre,3.84142,,,,,,,,,,,,
