sample,ftc,Breadth3d (mm),,Bin,Frequency,,,sample,ftc,Breadth3d (mm),,Bin,Frequency,
40-50-16,pre,0.0270934,0.005,0.005,0,0,,40-50-16,post,1.91733,0.005,0.005,0,0
40-50-16,pre,0.0270934,0.01,0.01,0,0,,40-50-16,post,0.0369471,0.01,0.01,0,0
40-50-16,pre,0.0220626,0.015,0.015,0,0,,40-50-16,post,0.04961,0.015,0.015,0,0
40-50-16,pre,0.024092,0.02,0.02,0,0,,40-50-16,post,0.0303096,0.02,0.02,1,0.008928571
40-50-16,pre,0.0242158,0.025,0.025,18,0.076923077,,40-50-16,post,0.251884,0.025,0.025,11,0.098214286
40-50-16,pre,0.0242518,0.03,0.03,22,0.094017094,,40-50-16,post,0.0496763,0.03,0.03,9,0.080357143
40-50-16,pre,0.0242158,0.035,0.035,25,0.106837607,,40-50-16,post,0.0274543,0.035,0.035,11,0.098214286
40-50-16,pre,0.024092,0.04,0.04,19,0.081196581,,40-50-16,post,0.0328944,0.04,0.04,10,0.089285714
40-50-16,pre,0.0260422,0.045,0.045,18,0.076923077,,40-50-16,post,0.0684138,0.045,0.045,7,0.0625
40-50-16,pre,0.0230053,0.05,0.05,17,0.072649573,,40-50-16,post,0.108611,0.05,0.05,6,0.053571429
40-50-16,pre,0.0275588,0.055,0.055,14,0.05982906,,40-50-16,post,0.0677788,0.055,0.055,9,0.080357143
40-50-16,pre,0.0276655,0.06,0.06,15,0.064102564,,40-50-16,post,0.023752,0.06,0.06,4,0.035714286
40-50-16,pre,0.0386046,0.065,0.065,11,0.047008547,,40-50-16,post,0.0560087,0.065,0.065,5,0.044642857
40-50-16,pre,0.0410973,0.07,0.07,14,0.05982906,,40-50-16,post,0.0648448,0.07,0.07,8,0.071428571
40-50-16,pre,0.0249107,0.075,0.075,11,0.047008547,,40-50-16,post,0.21495,0.075,0.075,3,0.026785714
40-50-16,pre,0.0329796,0.08,0.08,9,0.038461538,,40-50-16,post,0.0351498,0.08,0.08,4,0.035714286
40-50-16,pre,0.0239781,0.085,0.085,4,0.017094017,,40-50-16,post,0.2002,0.085,0.085,1,0.008928571
40-50-16,pre,0.024307,0.09,0.09,4,0.017094017,,40-50-16,post,0.024092,0.09,0.09,3,0.026785714
40-50-16,pre,0.024307,0.095,0.095,4,0.017094017,,40-50-16,post,0.27477,0.095,0.095,3,0.026785714
