sample,ftc,Breadth3d (mm),,Bin,Frequency,,,sample,ftc,Breadth3d (mm),,Bin,Frequency,
41-50-16,pre,0.0608064,0.005,0.005,0,0,,41-50-16,post,0.0249124,0.005,0.005,0,0
41-50-16,pre,0.04841,0.01,0.01,0,0,,41-50-16,post,0.0178291,0.01,0.01,0,0
41-50-16,pre,0.424786,0.015,0.015,0,0,,41-50-16,post,0.0249129,0.015,0.015,0,0
41-50-16,pre,1.15468,0.02,0.02,4,0.004140787,,41-50-16,post,0.0242685,0.02,0.02,1,0.009174312
41-50-16,pre,0.718277,0.025,0.025,73,0.075569358,,41-50-16,post,0.0249124,0.025,0.025,12,0.110091743
41-50-16,pre,0.26608,0.03,0.03,106,0.109730849,,41-50-16,post,0.0261679,0.03,0.03,14,0.128440367
41-50-16,pre,0.0273181,0.035,0.035,103,0.106625259,,41-50-16,post,0.0259865,0.035,0.035,12,0.110091743
41-50-16,pre,0.351464,0.04,0.04,77,0.079710145,,41-50-16,post,0.0246047,0.04,0.04,9,0.082568807
41-50-16,pre,0.0331866,0.045,0.045,84,0.086956522,,41-50-16,post,0.0235904,0.045,0.045,9,0.082568807
41-50-16,pre,0.0336026,0.05,0.05,60,0.062111801,,41-50-16,post,0.0232246,0.05,0.05,5,0.04587156
41-50-16,pre,0.048915,0.055,0.055,60,0.062111801,,41-50-16,post,0.0262634,0.055,0.055,9,0.082568807
41-50-16,pre,0.0524326,0.06,0.06,47,0.048654244,,41-50-16,post,0.0273181,0.06,0.06,4,0.036697248
41-50-16,pre,0.0273321,0.065,0.065,44,0.045548654,,41-50-16,post,0.0242811,0.065,0.065,7,0.064220183
41-50-16,pre,0.0689261,0.07,0.07,35,0.036231884,,41-50-16,post,0.0217921,0.07,0.07,4,0.036697248
41-50-16,pre,0.0400251,0.075,0.075,27,0.027950311,,41-50-16,post,0.024913,0.075,0.075,1,0.009174312
41-50-16,pre,0.0854042,0.08,0.08,40,0.041407867,,41-50-16,post,0.0247068,0.08,0.08,3,0.027522936
41-50-16,pre,0.0346562,0.085,0.085,20,0.020703934,,41-50-16,post,0.03466,0.085,0.085,2,0.018348624
41-50-16,pre,0.0264878,0.09,0.09,26,0.026915114,,41-50-16,post,0.0262634,0.09,0.09,1,0.009174312
41-50-16,pre,0.0501545,0.095,0.095,26,0.026915114,,41-50-16,post,0.0277115,0.095,0.095,3,0.027522936
41-50-16,pre,0.192574,0.1,0.1,20,0.020703934,,41-50-16,post,0.0260563,0.1,0.1,2,0.018348624
41-50-16,pre,0.107684,0.105,0.105,15,0.01552795,,41-50-16,post,0.0278634,0.105,0.105,2,0.018348624
41-50-16,pre,0.0498553,0.11,0.11,16,0.016563147,,41-50-16,post,0.0331546,0.11,0.11,2,0.018348624
41-50-16,pre,0.099565,0.115,0.115,10,0.010351967,,41-50-16,post,0.0323512,0.115,0.115,2,0.018348624
41-50-16,pre,0.101457,0.12,0.12,9,0.00931677,,41-50-16,post,0.028664,0.12,0.12,0,0
41-50-16,pre,0.0338243,0.125,0.125,12,0.01242236,,41-50-16,post,0.0279762,0.125,0.125,0,0
41-50-16,pre,0.0568583,0.13,0.13,11,0.011387164,,41-50-16,post,0.0264869,0.13,0.13,2,0.018348624
41-50-16,pre,0.0333213,0.135,0.135,8,0.008281573,,41-50-16,post,0.0355787,0.135,0.135,1,0.009174312
41-50-16,pre,0.0658851,0.14,0.14,7,0.007246377,,41-50-16,post,0.024789,0.14,0.14,1,0.009174312
41-50-16,pre,0.0249129,0.145,0.145,7,0.007246377,,41-50-16,post,0.0364732,0.145,0.145,0,0
41-50-16,pre,0.0323512,0.15,0.15,7,0.007246377,,41-50-16,post,0.030587,0.15,0.15,1,0.009174312
41-50-16,pre,0.0573245,0.155,0.155,9,0.00931677,,41-50-16,post,0.0282844,0.155,0.155,0,0
41-50-16,pre,0.210271,0.16,0.16,3,0.00310559,,41-50-16,post,0.0366659,0.16,0.16,0,0
41-50-16,pre,0.0549532,,More,,,,41-50-16,post,0.0263634,,More,,
41-50-16,pre,0.0543856,,,966,,,41-50-16,post,0.0363073,,,109,
41-50-16,pre,0.0417285,,,,,,41-50-16,post,0.0345542,,,,
41-50-16,pre,0.211506,,,,,,41-50-16,post,0.0348664,,,,
41-50-16,pre,0.0761149,,,,,,41-50-16,post,0.0299623,,,,
41-50-16,pre,0.0382502,,,,,,41-50-16,post,0.0309487,,,,
41-50-16,pre,0.0483603,,,,,,41-50-16,post,0.0430885,,,,
41-50-16,pre,0.038491,,,,,,41-50-16,post,0.031926,,,,
41-50-16,pre,0.0323512,,,,,,41-50-16,post,0.0383386,,,,
41-50-16,pre,0.106128,,,,,,41-50-16,post,0.0408299,,,,
41-50-16,pre,0.0345563,,,,,,41-50-16,post,0.0348824,,,,
41-50-16,pre,0.024007,,,,,,41-50-16,post,0.0374497,,,,
41-50-16,pre,0.0242157,,,,,,41-50-16,post,0.0473217,,,,
41-50-16,pre,0.47751,,,,,,41-50-16,post,0.0508445,,,,
41-50-16,pre,0.103597,,,,,,41-50-16,post,0.0353554,,,,
41-50-16,pre,0.102862,,,,,,41-50-16,post,0.0415571,,,,
41-50-16,pre,0.0249116,,,,,,41-50-16,post,0.0328686,,,,
41-50-16,pre,0.0427013,,,,,,41-50-16,post,0.052717,,,,
41-50-16,pre,0.0333651,,,,,,41-50-16,post,0.0385033,,,,
41-50-16,pre,0.035533,,,,,,41-50-16,post,0.0318358,,,,
41-50-16,pre,0.0298603,,,,,,41-50-16,post,0.040721,,,,
41-50-16,pre,0.079862,,,,,,41-50-16,post,0.044552,,,,
41-50-16,pre,0.0257087,,,,,,41-50-16,post,0.0305504,,,,
41-50-16,pre,0.178035,,,,,,41-50-16,post,0.0408666,,,,
