,site,top,bottom,moisture,ftc,length_3d_mm,width_3d_mm,area_3d_mm,vol_3d_mm,eq_diam_mm,eq_sa_mm,pore_shape_factor
47,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
48,tool,40,50,0.16,before,0.0234263,0.0112976,0.00060072,2.20E-06,0.0161305,0.000817421,1.360734639
49,tool,40,50,0.16,before,0.0334565,0.0112976,0.000881549,3.30E-06,0.0184648,0.001071122,1.215045752
50,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
51,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
52,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
53,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
54,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
55,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
56,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
57,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
58,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
59,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
60,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
61,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
62,tool,40,50,0.16,before,0.0234263,0.0112976,0.00060072,2.20E-06,0.0161305,0.000817421,1.360734639
63,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
64,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
65,tool,40,50,0.16,before,0.0112976,0.0112976,0.000319891,1.10E-06,0.0128028,0.000514944,1.609747553
66,tool,40,50,0.16,before,0.030152,0.0123278,0.00107877,4.40E-06,0.0203232,0.00129758,1.202832612
67,tool,40,50,0.16,before,0.030152,0.0123278,0.00107877,4.40E-06,0.0203232,0.00129758,1.202832612
68,tool,40,50,0.16,before,0.0468862,0.0123278,0.00159588,6.59E-06,0.0232642,0.001700302,1.065432367
69,tool,40,50,0.16,before,0.030152,0.0123278,0.00107877,4.40E-06,0.0203232,0.00129758,1.202832612
70,tool,40,50,0.16,before,0.030152,0.0123278,0.000859275,3.30E-06,0.0184648,0.001071122,1.246541989
71,tool,40,50,0.16,before,0.030152,0.0123278,0.000859275,3.30E-06,0.0184648,0.001071122,1.246541989
72,tool,40,50,0.16,before,0.0380945,0.0123278,0.00111783,4.40E-06,0.0203232,0.00129758,1.160802391
73,tool,40,50,0.16,before,0.0294083,0.0123278,0.000859275,3.30E-06,0.0184648,0.001071122,1.246541989
74,tool,40,50,0.16,before,0.030152,0.0123278,0.000859275,3.30E-06,0.0184648,0.001071122,1.246541989
75,tool,40,50,0.16,before,0.0380945,0.0123278,0.00133732,5.49E-06,0.0218925,0.001505707,1.125914079
76,tool,40,50,0.16,before,0.0379162,0.0123278,0.00133732,5.49E-06,0.0218925,0.001505707,1.125914079
77,tool,40,50,0.16,before,0.0294083,0.0123278,0.000859275,3.30E-06,0.0184648,0.001071122,1.246541989
78,tool,40,50,0.16,before,0.030152,0.0123278,0.000859275,3.30E-06,0.0184648,0.001071122,1.246541989
79,tool,40,50,0.16,before,0.030152,0.0123278,0.000859275,3.30E-06,0.0184648,0.001071122,1.246541989
80,tool,40,50,0.16,before,0.030152,0.0123278,0.00107877,4.40E-06,0.0203232,0.00129758,1.202832612
81,tool,40,50,0.16,before,0.030152,0.0123278,0.000859275,3.30E-06,0.0184648,0.001071122,1.246541989
82,tool,40,50,0.16,before,0.0379162,0.0123278,0.00133732,5.49E-06,0.0218925,0.001505707,1.125914079
83,tool,40,50,0.16,before,0.030152,0.0123278,0.00107877,4.40E-06,0.0203232,0.00129758,1.202832612
84,tool,40,50,0.16,before,0.0294083,0.0123278,0.000859275,3.30E-06,0.0184648,0.001071122,1.246541989
85,tool,40,50,0.16,before,0.0334565,0.0123278,0.00111783,4.40E-06,0.0203232,0.00129758,1.160802391
86,tool,40,50,0.16,before,0.030152,0.0123278,0.00107877,4.40E-06,0.0203232,0.00129758,1.202832612
87,tool,40,50,0.16,before,0.0294083,0.0123278,0.000859275,3.30E-06,0.0184648,0.001071122,1.246541989
88,tool,40,50,0.16,before,0.030152,0.0123278,0.000859275,3.30E-06,0.0184648,0.001071122,1.246541989
89,tool,40,50,0.16,before,0.030152,0.0123278,0.000859275,3.30E-06,0.0184648,0.001071122,1.246541989
90,tool,40,50,0.16,before,0.0649048,0.0123278,0.00237703,9.89E-06,0.0266309,0.002228033,0.937317871
91,tool,40,50,0.16,before,0.030152,0.0123278,0.00107877,4.40E-06,0.0203232,0.00129758,1.202832612
92,tool,40,50,0.16,before,0.0522036,0.013358,0.00163494,6.59E-06,0.0232642,0.001700302,1.039978351
93,tool,40,50,0.16,before,0.0380742,0.013358,0.00111783,4.40E-06,0.0203232,0.00129758,1.160802391
94,tool,40,50,0.16,before,0.0379819,0.013358,0.00159588,6.59E-06,0.0232642,0.001700302,1.065432367
95,tool,40,50,0.16,before,0.0379819,0.013358,0.00155682,6.59E-06,0.0232642,0.001700302,1.092163645
96,tool,40,50,0.16,before,0.0524772,0.013358,0.00187671,7.69E-06,0.0244909,0.00188434,1.004065846
97,tool,40,50,0.16,before,0.0445346,0.013358,0.00115689,4.40E-06,0.0203232,0.00129758,1.121610297
98,tool,40,50,0.16,before,0.0445346,0.013358,0.00115689,4.40E-06,0.0203232,0.00129758,1.121610297
99,tool,40,50,0.16,before,0.0303493,0.0142165,0.000859452,3.30E-06,0.0184648,0.001071122,1.24628527
100,tool,40,50,0.16,before,0.0303493,0.0142165,0.000859452,3.30E-06,0.0184648,0.001071122,1.24628527
101,tool,40,50,0.16,before,0.0227322,0.0142193,0.00060072,2.20E-06,0.0161305,0.000817421,1.360734639
102,tool,40,50,0.16,before,0.0227322,0.0142193,0.00060072,2.20E-06,0.0161305,0.000817421,1.360734639
103,tool,40,50,0.16,before,0.0227322,0.0142193,0.00060072,2.20E-06,0.0161305,0.000817421,1.360734639
104,tool,40,50,0.16,before,0.0227322,0.0142193,0.00060072,2.20E-06,0.0161305,0.000817421,1.360734639
105,tool,40,50,0.16,before,0.0227322,0.0142193,0.00060072,2.20E-06,0.0161305,0.000817421,1.360734639
106,tool,40,50,0.16,before,0.0227322,0.0142193,0.00060072,2.20E-06,0.0161305,0.000817421,1.360734639
107,tool,40,50,0.16,before,0.0227322,0.0142193,0.00060072,2.20E-06,0.0161305,0.000817421,1.360734639
108,tool,40,50,0.16,before,0.0227322,0.0142193,0.00060072,2.20E-06,0.0161305,0.000817421,1.360734639
109,tool,40,50,0.16,before,0.0227322,0.0142193,0.00060072,2.20E-06,0.0161305,0.000817421,1.360734639
110,tool,40,50,0.16,before,0.0227322,0.0142193,0.00060072,2.20E-06,0.0161305,0.000817421,1.360734639
111,tool,40,50,0.16,before,0.0227322,0.0142193,0.00060072,2.20E-06,0.0161305,0.000817421,1.360734639
112,tool,40,50,0.16,before,0.0227322,0.0142193,0.00060072,2.20E-06,0.0161305,0.000817421,1.360734639
113,tool,40,50,0.16,before,0.0227322,0.0142193,0.00060072,2.20E-06,0.0161305,0.000817421,1.360734639
114,tool,40,50,0.16,before,0.0227322,0.0142193,0.00060072,2.20E-06,0.0161305,0.000817421,1.360734639
115,tool,40,50,0.16,before,0.0227322,0.0142193,0.00060072,2.20E-06,0.0161305,0.000817421,1.360734639
116,tool,40,50,0.16,before,0.0227322,0.0142193,0.00060072,2.20E-06,0.0161305,0.000817421,1.360734639
117,tool,40,50,0.16,before,0.0328903,0.0143672,0.000881549,3.30E-06,0.0184648,0.001071122,1.215045752
118,tool,40,50,0.16,before,0.0520492,0.0143882,0.00185443,7.69E-06,0.0244909,0.00188434,1.016129169
119,tool,40,50,0.16,before,0.0458432,0.0143882,0.00193804,7.69E-06,0.0244909,0.00188434,0.972291807
120,tool,40,50,0.16,before,0.0430483,0.0145151,0.00116238,4.40E-06,0.0203232,0.00129758,1.116312855
121,tool,40,50,0.16,before,0.0292784,0.0149904,0.000859452,3.30E-06,0.0184648,0.001071122,1.24628527
122,tool,40,50,0.16,before,0.0292784,0.0149904,0.000859452,3.30E-06,0.0184648,0.001071122,1.24628527
123,tool,40,50,0.16,before,0.0292784,0.0149904,0.000859452,3.30E-06,0.0184648,0.001071122,1.24628527
124,tool,40,50,0.16,before,0.0297089,0.0154043,0.000859452,3.30E-06,0.0184648,0.001071122,1.24628527
125,tool,40,50,0.16,before,0.0663831,0.0154184,0.00366074,1.65E-05,0.0315744,0.003131988,0.855561437
126,tool,40,50,0.16,before,0.0608886,0.0154184,0.0025297,1.10E-05,0.0275828,0.002390158,0.944838438
127,tool,40,50,0.16,before,0.0374532,0.0157642,0.00115707,4.40E-06,0.0203232,0.00129758,1.121435813
128,tool,40,50,0.16,before,0.0215651,0.0159545,0.000600901,2.20E-06,0.0161305,0.000817421,1.360324766
