site,trmt,sample,moist,psf,psf_count,psf_dist
tool,before,41_50_28,high,0.4,7,0.01758794
tool,before,41_50_28,high,0.5,7,0.01758794
tool,before,41_50_28,high,0.6,7,0.01758794
tool,before,41_50_28,high,0.64,7,0.01758794
tool,before,41_50_28,high,0.66,7,0.01758794
tool,before,41_50_28,high,0.68,7,0.01758794
tool,before,41_50_28,high,0.38,8,0.020100503
tool,before,41_50_28,high,0.39,8,0.020100503
tool,before,41_50_28,high,0.48,8,0.020100503
tool,before,41_50_28,high,0.52,8,0.020100503
tool,before,41_50_28,high,0.59,8,0.020100503
tool,before,41_50_28,high,0.3,9,0.022613065
tool,before,41_50_28,high,0.44,9,0.022613065
tool,before,41_50_28,high,0.51,9,0.022613065
tool,before,41_50_28,high,0.58,9,0.022613065
tool,before,41_50_28,high,0.62,9,0.022613065
tool,before,41_50_28,high,0.65,9,0.022613065
tool,before,41_50_28,high,0.35,10,0.025125628
tool,before,41_50_28,high,0.36,10,0.025125628
tool,before,41_50_28,high,0.42,10,0.025125628
tool,before,41_50_28,high,0.45,10,0.025125628
tool,before,41_50_28,high,0.54,10,0.025125628
tool,before,41_50_28,high,0.71,10,0.025125628
tool,before,41_50_28,high,0.46,11,0.027638191
tool,before,41_50_28,high,0.57,11,0.027638191
tool,before,41_50_28,high,0.53,12,0.030150754
tool,before,41_50_28,high,0.61,12,0.030150754
tool,before,41_50_28,high,0.56,14,0.035175879
