site,sample,trmt,breadth_mm3,Pc
tool,28_38_28,after,0.0889013,-0.049315823
tool,28_38_12,before,0.0886926,-0.049303137
tool,41_50_16,after,0.0886926,-0.049303137
tool,41_50_16,before,0.088659,-0.049301095
tool,41_50_16,before,0.0885834,-0.049296502
tool,41_50_16,before,0.0885466,-0.049294266
tool,41_50_16,before,0.088492,-0.04929095
tool,28_38_28,after,0.0884819,-0.049290336
tool,41_50_16,before,0.0884807,-0.049290263
tool,41_50_16,before,0.0884765,-0.049290008
tool,40_50_16,before,0.0883121,-0.049280025
tool,41_50_16,before,0.0881409,-0.049269633
tool,41_50_16,before,0.0880383,-0.049263407
tool,40_50_16,after,0.0878,-0.049248953
tool,28_38_28,after,0.0877626,-0.049246686
tool,40_50_16,before,0.0875698,-0.049234999
tool,28_38_28,before,0.0875048,-0.04923106
tool,41_50_16,before,0.0874566,-0.04922814
tool,41_50_16,before,0.0874325,-0.04922668
tool,41_50_16,before,0.0873699,-0.049222888
tool,28_38_28,before,0.0872574,-0.049216074
tool,28_38_28,after,0.0872418,-0.049215129
tool,41_50_28,before,0.0871014,-0.049206629
tool,28_38_28,after,0.0869706,-0.049198713
tool,41_50_16,before,0.0866839,-0.04918137
tool,41_50_16,before,0.0866665,-0.049180318
tool,41_50_16,before,0.0866056,-0.049176636
tool,41_50_28,before,0.0865828,-0.049175257
tool,41_50_16,before,0.0865391,-0.049172615
tool,28_38_28,before,0.0865372,-0.049172501
tool,41_50_28,before,0.0865339,-0.049172301
tool,41_50_28,before,0.0864855,-0.049169376
tool,40_50_16,before,0.0864496,-0.049167206
tool,28_38_12,before,0.0863934,-0.04916381
tool,41_50_16,before,0.0862478,-0.049155013
tool,28_38_12,after,0.0861398,-0.04914849
tool,28_38_28,after,0.0861072,-0.049146522
tool,40_50_16,before,0.0860669,-0.049144088
tool,41_50_16,before,0.085976,-0.0491386
tool,41_50_16,before,0.0858723,-0.049132341
tool,28_38_28,after,0.0858389,-0.049130326
tool,28_38_28,after,0.0857897,-0.049127357
tool,41_50_16,before,0.0857624,-0.04912571
tool,28_38_12,before,0.0856806,-0.049120775
tool,41_50_16,before,0.0856567,-0.049119333
tool,28_38_28,after,0.0855715,-0.049114195
tool,41_50_16,before,0.0854356,-0.049106001
tool,41_50_16,before,0.0854042,-0.049104108
tool,28_38_28,before,0.0854039,-0.04910409
tool,41_50_16,before,0.0854026,-0.049104011
tool,41_50_16,before,0.0852926,-0.049097381
tool,40_50_28,after,0.0852826,-0.049096779
tool,28_38_28,after,0.085278,-0.049096502
tool,28_38_28,after,0.0852014,-0.049091886
tool,28_38_12,before,0.0852012,-0.049091874
tool,28_38_28,after,0.0851744,-0.049090259
tool,28_38_12,after,0.0851596,-0.049089368
tool,28_38_28,after,0.0851367,-0.049087988
tool,28_38_28,before,0.0850726,-0.049084127
tool,28_38_28,after,0.0848999,-0.049073727
tool,28_38_12,after,0.0847724,-0.049066052
tool,28_38_28,before,0.0847328,-0.049063669
tool,41_50_16,before,0.0847156,-0.049062634
tool,41_50_28,before,0.0846933,-0.049061292
tool,41_50_28,before,0.0846679,-0.049059764
tool,41_50_28,before,0.084634,-0.049057724
tool,41_50_16,after,0.0846053,-0.049055997
tool,28_38_28,before,0.0845962,-0.04905545
tool,41_50_16,before,0.0845229,-0.04905104
tool,41_50_16,after,0.0844904,-0.049049085
tool,28_38_28,after,0.0844784,-0.049048364
tool,41_50_16,before,0.0843082,-0.049038129
tool,28_38_12,after,0.0842962,-0.049037408
tool,28_38_12,after,0.0840415,-0.049022101
tool,28_38_28,after,0.0840034,-0.049019812
tool,28_38_28,after,0.0839689,-0.04901774
tool,40_50_16,before,0.0839499,-0.049016598
tool,28_38_28,before,0.0839316,-0.049015499
tool,41_50_28,before,0.0838853,-0.049012718
tool,41_50_16,before,0.0837429,-0.049004168
tool,41_50_16,before,0.0837042,-0.049001845
tool,28_38_28,after,0.0836856,-0.049000728
tool,41_50_28,before,0.0836793,-0.04900035
tool,41_50_16,before,0.083538,-0.04899187
tool,40_50_16,before,0.0833773,-0.048982229
tool,28_38_12,before,0.0832348,-0.048973683
tool,41_50_16,before,0.0832234,-0.048972999
tool,28_38_28,after,0.0831793,-0.048970355
tool,41_50_16,before,0.0830775,-0.048964253
tool,41_50_16,before,0.0830195,-0.048960777
tool,41_50_28,before,0.0829764,-0.048958194
tool,41_50_28,before,0.0829675,-0.048957661
tool,28_38_28,after,0.08291,-0.048954216
tool,40_50_16,before,0.0827423,-0.04894417
tool,41_50_16,before,0.0827051,-0.048941942
tool,28_38_28,after,0.0825538,-0.048932884
tool,41_50_16,before,0.0825222,-0.048930992
tool,28_38_12,after,0.0825119,-0.048930376
tool,40_50_28,before,0.0824353,-0.048925791
tool,28_38_28,after,0.0823533,-0.048920885
tool,41_50_28,before,0.0823408,-0.048920137
tool,41_50_28,before,0.0821965,-0.048911505
tool,40_50_16,before,0.0819806,-0.048898596
tool,28_38_28,after,0.0819376,-0.048896026
tool,41_50_16,before,0.0817849,-0.0488869
tool,41_50_16,before,0.0817542,-0.048885066
tool,28_38_28,after,0.0816011,-0.048875921
tool,28_38_28,after,0.0814207,-0.04886515
tool,41_50_16,before,0.0812634,-0.048855761
tool,28_38_28,before,0.0812612,-0.04885563
tool,41_50_16,before,0.081253,-0.048855141
tool,41_50_16,before,0.0811959,-0.048851734
tool,28_38_28,after,0.0811892,-0.048851334
tool,28_38_12,after,0.0811812,-0.048850857
tool,41_50_16,before,0.0811339,-0.048848035
tool,41_50_16,before,0.0811245,-0.048847474
tool,28_38_28,after,0.0811079,-0.048846484
tool,28_38_28,after,0.0810305,-0.048841868
tool,28_38_28,after,0.0808349,-0.048830205
tool,41_50_28,before,0.0808172,-0.04882915
tool,28_38_28,before,0.0808054,-0.048828447
tool,41_50_28,before,0.0807664,-0.048826122
tool,41_50_16,before,0.0807188,-0.048823286
tool,41_50_28,before,0.0807143,-0.048823017
tool,28_38_12,before,0.0805569,-0.048813639
tool,40_50_28,before,0.0805118,-0.048810953
tool,41_50_16,before,0.0802111,-0.048793049
tool,40_50_28,after,0.0800958,-0.048786187
tool,28_38_28,after,0.0799394,-0.048776883
tool,41_50_16,before,0.079862,-0.04877228
tool,41_50_16,before,0.0798226,-0.048769937
tool,28_38_28,after,0.0797538,-0.048765846
tool,41_50_28,before,0.0795571,-0.048754155
tool,41_50_28,before,0.0795432,-0.048753329
tool,41_50_16,before,0.0795425,-0.048753287
tool,41_50_16,before,0.0795419,-0.048753251
tool,41_50_16,before,0.0795385,-0.048753049
tool,41_50_16,before,0.0795307,-0.048752586
tool,41_50_28,before,0.0795252,-0.048752259
tool,41_50_16,before,0.0794949,-0.048750459
tool,28_38_12,after,0.0794859,-0.048749924
tool,41_50_28,before,0.0793757,-0.048743377
tool,41_50_16,before,0.0792982,-0.048738775
tool,28_38_28,after,0.0791462,-0.048729749
tool,41_50_28,after,0.0791181,-0.048728081
tool,40_50_28,before,0.0790876,-0.048726271
tool,41_50_28,before,0.0790409,-0.048723499
tool,40_50_16,before,0.078766,-0.048707189
tool,41_50_16,before,0.0787326,-0.048705209
tool,41_50_16,before,0.0787313,-0.048705131
tool,41_50_28,before,0.0786344,-0.048699386
