sample,ftc,volume_mm3,breadth_mm3,surface_calc_area_mm3,surface_calc_vol_mm3,shape_factor
40-50-16,before,1.43E-05,0.0278008,0.002982,0.000008,0.648688915
40-50-16,before,1.21E-05,0.0320096,0.001889,0.000004,0.645097701
40-50-16,before,4.40E-05,0.0703405,0.00717,0.000029,0.636644465
40-50-16,before,1.65E-05,0.0334306,0.00354,0.00001,0.634085072
40-50-16,before,1.43E-05,0.0313679,0.002794,0.000007,0.633368435
40-50-16,before,2.09E-05,0.0454645,0.003548,0.00001,0.632655343
40-50-16,before,8.79E-06,0.0288318,0.001599,0.000003,0.629095382
40-50-16,before,0.000037362,0.0545983,0.006974,0.000027,0.62408636
40-50-16,before,7.69E-06,0.0331723,0.001238,0.000002,0.620083455
40-50-16,before,4.40E-05,0.0483868,0.007381,0.000029,0.618444765
40-50-16,before,4.84E-05,0.0576069,0.008045,0.000033,0.618444459
40-50-16,before,1.76E-05,0.0414556,0.002863,0.000007,0.61810388
40-50-16,before,2.53E-05,0.0477784,0.004149,0.000012,0.610934785
40-50-16,before,2.86E-05,0.0513901,0.005644,0.000019,0.610097886
40-50-16,before,1.65E-05,0.0353331,0.002637,0.000006,0.605538129
40-50-16,before,1.98E-05,0.0526955,0.003708,0.00001,0.605356299
40-50-16,before,0.000046153,0.0557959,0.007215,0.000027,0.603240232
40-50-16,before,4.29E-05,0.070906,0.007604,0.000029,0.600307839
40-50-16,before,4.94E-05,0.0445266,0.008633,0.000035,0.599378389
40-50-16,before,2.42E-05,0.0353308,0.004271,0.000012,0.593483593
40-50-16,before,0.000018681,0.0348129,0.003528,0.000009,0.593085383
40-50-16,before,0.000018681,0.0446926,0.00327,0.000008,0.59155668
40-50-16,before,3.96E-05,0.0466156,0.007543,0.000028,0.591169525
40-50-16,before,7.69E-06,0.0239181,0.0013,0.000002,0.590510244
40-50-16,before,2.64E-05,0.0422559,0.005637,0.000018,0.589229425
40-50-16,before,7.69E-06,0.0322338,0.001308,0.000002,0.58689856
40-50-16,before,3.30E-05,0.0496152,0.00608,0.00002,0.586048928
40-50-16,before,3.30E-05,0.0451853,0.006752,0.000023,0.57925561
40-50-16,before,5.38E-05,0.0611007,0.00912,0.000036,0.578128377
40-50-16,before,7.69E-06,0.0272299,0.000846,0.000001,0.571628352
40-50-16,before,2.20E-05,0.0392369,0.004439,0.000012,0.571022398
40-50-16,before,1.10E-05,0.0419371,0.00136,0.000002,0.564458321
40-50-16,before,6.59E-06,0.028187,0.000859,0.000001,0.5629774
